"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1537","Login Test with CSV Data: Valid login @datadriven","chromium","2026-05-12","passed","2026-05-12","","LoginDataDriven.spec.ts","",""
"","2123","Add product to cart test @master @regression","chromium","2026-05-13","passed","2026-05-13","","AddToCart.spec.ts","",""
"","4941","Velidate Account Registration","chromium","2026-05-14","passed","2026-05-14","","AccountRegistration.spec.ts","",""
"","1778","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-05-12","passed","2026-05-12","","LoginDataDriven.spec.ts","",""
"","1495","Login Test with JSON Data: Invalid login","chromium","2026-05-12","passed","2026-05-12","","LoginDataDriven.spec.ts","",""
"","1525","Login Test with JSON Data: Valid login","chromium","2026-05-12","passed","2026-05-12","","LoginDataDriven.spec.ts","",""
"","1376","Product search test @master @regression","chromium","2026-05-13","passed","2026-05-13","","SearchProduct.spec.ts","",""
"","1541","User login test","chromium","2026-05-14","passed","2026-05-14","","Login.spec.ts","",""
"","1929","User logout test","chromium","2026-05-13","passed","2026-05-13","","Logout.spec.ts","",""
"","5046","Velidate Account Registration-My Details","chromium","2026-05-12","passed","2026-05-12","","AccountRegistration.spec.ts","",""
"","1820","Login Test with JSON Data: Valid login @datadriven","chromium","2026-05-12","failed","2026-05-12","","LoginDataDriven.spec.ts","",""
"","7041","execute end-to-end test flow","chromium","2026-05-13","passed","2026-05-13","","EndToEndTest.spec.ts","",""
"","1468","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-05-12","passed","2026-05-12","","LoginDataDriven.spec.ts","",""
